Character,Series,Release Date,Released?
Sanosuke Harada,Hakuouki: Demon of the Fleeting Blossom,"4/14/2022, 4:10 AM UTC",
Kiryuu Miran,Baku Ane 2: Otouto Ippai Shibocchau zo!,"4/14/2022, 4:30 AM UTC",
Toki Kozuki,One Piece,"4/14/2022, 4:40 AM UTC",
Christopher Thorndyke,Sonic X,"4/14/2022, 4:50 AM UTC",
Echizen,Tanaka-kun is Always Listless,"4/14/2022, 5:00 AM UTC",
Nanami Momozono,Kamisama Kiss,"4/14/2022, 5:10 AM UTC",
Mirumo,Wagamama Fairy: Mirumo de Pon!,"4/14/2022, 5:20 AM UTC",
Ageha Kurono,Rosario + Vampire Capu2,"4/14/2022, 5:40 AM UTC",
Croix Meridies,Little Witch Academia TV,"4/14/2022, 6:00 AM UTC",
Nejire Hado,My Hero Academia 3,"4/14/2022, 6:10 AM UTC",
Lie Ren,RWBY,"4/14/2022, 6:20 AM UTC",
Shinpachi Shimura,Gintama,"4/14/2022, 6:30 AM UTC",
Juliet Persia,Boarding School Juliet,"4/14/2022, 6:40 AM UTC",
Keroberos,Cardcaptor Sakura,"4/14/2022, 6:50 AM UTC",
Elsa,Brand New Animal,"4/14/2022, 7:00 AM UTC",
Mikumo Guynemer,Macross Delta,"4/14/2022, 7:10 AM UTC",
Yan Qing,Fate/Grand Order,"4/14/2022, 7:20 AM UTC",
Minori Kushieda,Toradora!,"4/14/2022, 7:30 AM UTC",
Noa Fukushima,D4DJ First Mix,"4/14/2022, 7:50 AM UTC",
Kouen Ren,Magi: The Kingdom of Magic,"4/14/2022, 8:00 AM UTC",
Maki Sanjou,Maki-chan to Now.,"4/14/2022, 8:10 AM UTC",
Tetsutetsu Tetsutetsu,My Hero Academia 2,"4/14/2022, 8:20 AM UTC",
Koneko Toujou,High School DxD,"4/14/2022, 8:30 AM UTC",
Tsunomaki Watame,Hololive: Holo no Graffiti,"4/14/2022, 8:40 AM UTC",
Leif Faris Claus,Fire Emblem: Thracia 776,"4/14/2022, 8:50 AM UTC",
Philia Felice,Tales of Destiny,"4/14/2022, 9:10 AM UTC",
Mokke,Toilet-Bound Hanako-kun,"4/14/2022, 9:20 AM UTC",
Aqua,Tsukimichi: Moonlit Fantasy,"4/14/2022, 9:30 AM UTC",
Lin Xiao Li,Black Cat,"4/14/2022, 9:40 AM UTC",
Asao Kurikoma,Bakuten!!,"4/14/2022, 9:50 AM UTC",
Lachesis,Fire Emblem: Genealogy of the Holy War,"4/14/2022, 10:10 AM UTC",
Rikidou Satou,My Hero Academia,"4/14/2022, 10:20 AM UTC",
Shiki Misaki,The World Ends with You,"4/14/2022, 10:30 AM UTC",
Yuika Shiina,Nijisanji,"4/14/2022, 10:50 AM UTC",
Saori Hidaka,D4DJ First Mix,"4/14/2022, 11:00 AM UTC",
Nora Valkyrie,RWBY,"4/14/2022, 11:10 AM UTC",
Enkidu,Fate/Grand Order,"4/14/2022, 11:20 AM UTC",
Passionlip,Fate/EXTRA CCC,"4/14/2022, 11:30 AM UTC",
Bauks,Dorohedoro,"4/14/2022, 11:40 AM UTC",
Veigue Lungberg,Tales of Rebirth,"4/14/2022, 11:50 AM UTC",
Akane Hino,The iDOLM@STER: Cinderella Girls,"4/14/2022, 12:00 PM UTC",
Kogorou Katsura,Rurouni Kenshin: Tsuiokuhen,"4/14/2022, 12:20 PM UTC",
Kiyohime,Fate/Grand Order,"4/14/2022, 12:40 PM UTC",
Tanjirou Kamado,Demon Slayer: Kimetsu no Yaiba,"4/14/2022, 12:50 PM UTC",
Julian Danglars,Gankutsuou: The Count of Monte Cristo,"4/14/2022, 1:00 PM UTC",
Haruno Kasumi,Kasumin,"4/14/2022, 1:10 PM UTC",
Akiteru Tsukishima,Haikyuu!! Second Season,"4/14/2022, 1:20 PM UTC",
Yuuki,Sword Art Online II,"4/14/2022, 1:30 PM UTC",
Shikamaru Nara,Naruto,"4/14/2022, 1:40 PM UTC",
Gemini Sunrise,Sakura Wars: New York NY.,"4/14/2022, 1:50 PM UTC",
Un,Show by Rock!!,"4/14/2022, 2:00 PM UTC",
Mary,Granblue Fantasy the Animation,"4/14/2022, 2:10 PM UTC",
Pham Thi Lan,Schwarzesmarken,"4/14/2022, 2:20 PM UTC",
Miku Kobayakawa,Keijo!!!!!!!!,"4/14/2022, 2:40 PM UTC",
Yuno Gasai,Future Diary,"4/14/2022, 2:50 PM UTC",
Great Saiyaman,Dragon Ball Z,"4/14/2022, 3:00 PM UTC",
Krulcifer Einfolk,Undefeated Bahamut Chronicle,"4/14/2022, 3:10 PM UTC",
Yasuke,Yasuke,"4/14/2022, 3:20 PM UTC",
Nagito Komaeda,Danganronpa 2: Goodbye Despair,"4/14/2022, 3:30 PM UTC",
Kenji Miyazawa,Bungou Stray Dogs,"4/14/2022, 3:40 PM UTC",
Ferdinand von Aegir,Fire Emblem: Three Houses,"4/14/2022, 3:50 PM UTC",
Erina Toudou,Love Live! School Idol Project 2,"4/14/2022, 4:00 PM UTC",
Choi Jong-In,Solo Leveling,"4/14/2022, 4:10 PM UTC",
Jacuzzi Splot,Baccano!,"4/14/2022, 4:20 PM UTC",
Sally,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.","4/14/2022, 4:30 PM UTC",
Annette Fantine Dominic,Fire Emblem: Three Houses,"4/14/2022, 4:50 PM UTC",
Benny,Black Lagoon,"4/14/2022, 5:00 PM UTC",
Nana,Jouran: The Princess of Snow and Blood,"4/14/2022, 5:10 PM UTC",
Aurora,Tonikaku Kawaii,"4/14/2022, 5:20 PM UTC",
Mysterious Alter Ego Lambda,Fate/Grand Order,"4/14/2022, 5:30 PM UTC",
Shiori Misaka,Kanon (2006),"4/14/2022, 6:00 PM UTC",
Shion,No. 6,"4/14/2022, 6:10 PM UTC",
Tomura Shigaraki,My Hero Academia,"4/14/2022, 6:20 PM UTC",
Moroha,Yashahime: Princess Half-Demon,"4/14/2022, 6:30 PM UTC",
Riko Sakurauchi,Love Live! Sunshine!!,"4/14/2022, 6:40 PM UTC",
Yuma Tsukumo,Yu-Gi-Oh! Zexal,"4/14/2022, 6:50 PM UTC",
Aragami Oga,Holostars,"4/14/2022, 7:10 PM UTC",
Tsubasa Tanuma,Kaguya-sama: Love Is War,"4/14/2022, 7:20 PM UTC",
Radish Spirit,Spirited Away,"4/14/2022, 7:30 PM UTC",
Mitsuru Sasayama,Psycho-Pass,"4/14/2022, 7:40 PM UTC",
Tetsuya Number 2,Kuroko's Basketball,"4/14/2022, 7:50 PM UTC",
Asahi Minamikawa,Mewkledreamy,"4/14/2022, 8:00 PM UTC",
Shizuku Osaka,Love Live! Nijigasaki High School Idol Club,"4/14/2022, 8:10 PM UTC",
Alice,Tales of Symphonia: Dawn of the New World,"4/14/2022, 8:20 PM UTC",
Toudou-san,"The Night Is Short, Walk on Girl","4/14/2022, 8:30 PM UTC",
Hiro Sohma,Fruits Basket,"4/14/2022, 8:40 PM UTC",
Kaoru Kamiya,Rurouni Kenshin,"4/14/2022, 8:50 PM UTC",
Yuuna Hijirisawa,Love Live! Superstar!!,"4/14/2022, 9:00 PM UTC",
Barbara,Genshin Impact,"4/14/2022, 9:10 PM UTC",
Hina Hikawa,BanG Dream!,"4/14/2022, 9:30 PM UTC",
Amane Kanata,Hololive: Holo no Graffiti,"4/14/2022, 9:50 PM UTC",
Euclase,Land of the Lustrous,"4/14/2022, 10:00 PM UTC",
Hotaru Ichijou,Non Non Biyori,"4/14/2022, 10:10 PM UTC",
Turkey,Hetalia: World Series,"4/14/2022, 10:20 PM UTC",
Kaito Yaguchi,Those Snow White Notes,"4/14/2022, 10:30 PM UTC",
Akaishi,Tokyo Revengers,"4/14/2022, 10:40 PM UTC",
Shigure Takimi,Rurouni Kenshin: The Motion Picture,"4/14/2022, 10:50 PM UTC",
Kurumi Saiki,The Disastrous Life of Saiki K.,"4/14/2022, 11:00 PM UTC",
Beryl Benito,Tales of Hearts,"4/14/2022, 11:10 PM UTC",
Chiyuki,Death Parade,"4/14/2022, 11:20 PM UTC",
Choi Bounge,The King of Fighters '94,"4/14/2022, 11:40 PM UTC",
Ryuuji Takasu,Toradora!,"4/15/2022, 12:00 AM UTC",
Male Kana,Fire Emblem Fates,"4/15/2022, 12:10 AM UTC",
Kiriha Kisaki,Strike the Blood II,"4/15/2022, 12:20 AM UTC",
Kalim Al-Asim,Twisted Wonderland,"4/15/2022, 12:30 AM UTC",
Tatsuya Shiba,The Irregular at Magic High School,"4/15/2022, 12:40 AM UTC",
Yuuji Tachiki,Brand New Animal,"4/15/2022, 12:50 AM UTC",
Utano Tadano,Uramichi Oniisan,"4/15/2022, 1:00 AM UTC",
Rossweisse,High School DxD BorN,"4/15/2022, 1:10 AM UTC",
Ichirou Irabu,Kuuchuu Buranko,"4/15/2022, 1:20 AM UTC",
Tamaki Suoh,Ouran High School Host Club,"4/15/2022, 1:30 AM UTC",
Girl with the Black Hair,"The Night Is Short, Walk on Girl","4/15/2022, 1:40 AM UTC",
Clavis,Death Parade,"4/15/2022, 2:00 AM UTC",
Gou Matsuoka,Free! - Iwatobi Swim Club,"4/15/2022, 2:10 AM UTC",
Mikuru Natsuki,Aikatsu! 2,"4/15/2022, 2:20 AM UTC",
School Festival Executive Head,"The Night Is Short, Walk on Girl","4/15/2022, 2:30 AM UTC",
Arjuna,Fate/Grand Order,"4/15/2022, 2:40 AM UTC",
Tsuyu Asui,My Hero Academia,"4/15/2022, 2:50 AM UTC",
Subaru Mimura,2.43: Seiin Koukou Danshi Volley-bu,"4/15/2022, 3:00 AM UTC",
Erwin Smith,Attack on Titan,"4/15/2022, 3:20 AM UTC",
Nozomu Nanashima,"Kiss Him, Not Me","4/15/2022, 3:30 AM UTC",
Spice Girl,JoJo's Bizarre Adventure: Golden Wind,"4/15/2022, 3:40 AM UTC",
Hinata Tachibana,Tokyo Revengers,"4/15/2022, 3:50 AM UTC",
Claudine Saijou,Shoujo Kageki Revue Starlight,"4/15/2022, 4:10 AM UTC",
Cosette Schneider,takt op.Destiny,"4/15/2022, 4:30 AM UTC",
Chou Sawagejou,Rurouni Kenshin,"4/15/2022, 4:40 AM UTC",
Uzume Tennouboshi,Megadimension Neptunia VII,"4/15/2022, 4:50 AM UTC",
Makoto Sawatari,Kanon (2006),"4/15/2022, 5:00 AM UTC",
Shouto Todoroki,My Hero Academia,"4/15/2022, 5:10 AM UTC",
Balgo Ywain Parks,BURN THE WITCH,"4/15/2022, 5:20 AM UTC",
Setsuko Satou,Tsuki ga Kirei,"4/15/2022, 5:40 AM UTC",
Junko Azumi,Tsuki ga Kirei,"4/15/2022, 5:50 AM UTC",
Simon,Koi to Producer: EVOL×LOVE,"4/15/2022, 6:00 AM UTC",
Tsubomi Kido,Mekakucity Actors,"4/15/2022, 6:10 AM UTC",
Kaeya,Genshin Impact,"4/15/2022, 6:30 AM UTC",
Masamune Matsuoka,Aoharu × Machinegun,"4/15/2022, 6:40 AM UTC",
Xiao,Genshin Impact,"4/15/2022, 6:50 AM UTC",
Mikoto Aiura,The Disastrous Life of Saiki K. 2nd Season,"4/15/2022, 7:00 AM UTC",
Hyouei Sasaki,Mononoke,"4/15/2022, 7:10 AM UTC",
Josee,"Josee, the Tiger and the Fish","4/15/2022, 7:15 AM UTC",
Kana Kishimoto,"Josee, the Tiger and the Fish","4/15/2022, 7:15 AM UTC",
Marika Mizushima,D4DJ First Mix,"4/15/2022, 7:20 AM UTC",
Kumajiro,Hetalia: Axis Powers,"4/15/2022, 7:30 AM UTC",
Sousaku Yubiwa,Pretty Boy Detective Club,"4/15/2022, 7:40 AM UTC",
Kouta Hirano,Highschool of the Dead,"4/15/2022, 7:50 AM UTC",
Loni Dunamis,Tales of Destiny 2,"4/15/2022, 8:00 AM UTC",
Gold Experience,JoJo's Bizarre Adventure: Golden Wind,"4/15/2022, 8:10 AM UTC",
Kaito,halyosy: Connecting,"4/15/2022, 8:20 AM UTC",
Hubert Oswell,Tales of Graces,"4/15/2022, 8:40 AM UTC",
Anna Williams,Tekken 1,"4/15/2022, 8:50 AM UTC",
Rin Okumura,Blue Exorcist,"4/15/2022, 9:00 AM UTC",
Jacqueline de Signore,Gosick,"4/15/2022, 9:10 AM UTC",
Reines El-Melloi Archisorte,Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note,"4/15/2022, 9:20 AM UTC",
Shuusaku Shida,Bakuten!!,"4/15/2022, 9:30 AM UTC",
Chloe,Marvel Future Avengers,"4/15/2022, 9:40 AM UTC",
Shuri Maeda,Those Snow White Notes,"4/15/2022, 9:50 AM UTC",
Kiyoshi Moria,Mononoke,"4/15/2022, 10:00 AM UTC",
Koumori,The Detective is Already Dead,"4/15/2022, 10:10 AM UTC",
Edward Teach,Fate/Grand Order,"4/15/2022, 10:20 AM UTC",
Rize Tedeza,Is the Order a Rabbit?,"4/15/2022, 10:30 AM UTC",
Jou Kido,Digimon Adventure,"4/15/2022, 10:40 AM UTC",
Aya Kominato,Blue Spring Ride,"4/15/2022, 11:00 AM UTC",
Ryouta Kise,Kuroko's Basketball,"4/15/2022, 11:10 AM UTC",
Mugi Awaya,Scum's Wish,"4/15/2022, 11:20 AM UTC",
Threo,Granblue Fantasy,"4/15/2022, 11:30 AM UTC",
Assassin,Fate/stay night,"4/15/2022, 11:40 AM UTC",
Anya Alstreim,Code Geass: Lelouch of the Rebellion R2,"4/15/2022, 11:50 AM UTC",
Olga Marie Animusphere,Fate/Grand Order,"4/15/2022, 12:00 PM UTC",
Happy,Edens Zero,"4/15/2022, 12:10 PM UTC",
Endeavor,My Hero Academia,"4/15/2022, 12:20 PM UTC",
Broly,Dragon Ball Z Movie 8: The Legendary Super Saiyan,"4/15/2022, 12:30 PM UTC",
Male Byleth,Fire Emblem: Three Houses,"4/15/2022, 12:50 PM UTC",
Yotsuba Nakano,The Quintessential Quintuplets,"4/15/2022, 1:10 PM UTC",
Eleanor Hume,Tales of Berseria,"4/15/2022, 1:20 PM UTC",
Asagi Aiba,Strike the Blood,"4/15/2022, 1:30 PM UTC",
Elu,Nijisanji,"4/15/2022, 1:40 PM UTC",
Huang,Darker than Black,"4/15/2022, 1:50 PM UTC",
Haru,The Secret World of Arrietty,"4/15/2022, 2:00 PM UTC",
Kou Yagami,New Game!,"4/15/2022, 2:10 PM UTC",
Akira Hayama,Food Wars! Shokugeki no Souma,"4/15/2022, 2:20 PM UTC",
Gaara,Naruto,"4/15/2022, 2:40 PM UTC",
Paula,Drugstore in Another World: The Slow Life of a Cheat Pharmacist,"4/15/2022, 2:50 PM UTC",
Hapi,Fire Emblem: Three Houses,"4/15/2022, 3:00 PM UTC",
Kyou Fujibayashi,Clannad,"4/15/2022, 3:10 PM UTC",
Sandalphon,Granblue Fantasy,"4/15/2022, 3:30 PM UTC",
Ashura Kokuhou,The Day I Became a God,"4/15/2022, 3:40 PM UTC",
Junpei,Zero Escape,"4/15/2022, 3:50 PM UTC",
Lucius,Granblue Fantasy,"4/15/2022, 4:00 PM UTC",
Kaoru Sakuraba,The iDOLM@STER SideM,"4/15/2022, 4:10 PM UTC",
Shampoo,Ranma ½,"4/15/2022, 4:20 PM UTC",
Elincia,Fire Emblem: Path of Radiance,"4/15/2022, 4:30 PM UTC",
Ryouko Sakaki,Food Wars! Shokugeki no Souma,"4/15/2022, 4:40 PM UTC",
Allen Walker,D.Gray-man,"4/15/2022, 4:50 PM UTC",
Kaze,Fire Emblem Fates,"4/15/2022, 5:00 PM UTC",
Karin Asaka,Love Live! Nijigasaki High School Idol Club,"4/15/2022, 5:10 PM UTC",
Yatake Koji,Given,"4/15/2022, 5:20 PM UTC",
Chtholly Nota Seniorious,WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,"4/15/2022, 5:30 PM UTC",
Oyuki,Urusei Yatsura,"4/15/2022, 5:50 PM UTC",
Jet Jaguar,Godzilla Singular Point,"4/15/2022, 6:00 PM UTC",
Kakeru Juuouin,King of Prism by Pretty Rhythm,"4/15/2022, 6:10 PM UTC",
Pipimi,Pop Team Epic,"4/15/2022, 6:20 PM UTC",
Saeko Tanaka,Haikyuu!! Second Season,"4/15/2022, 6:30 PM UTC",
Blue-Eyes Ultimate Dragon,Yu-Gi-Oh! Duel Monsters,"4/15/2022, 6:40 PM UTC",
Amaimon,Blue Exorcist,"4/15/2022, 6:50 PM UTC",
Zaveid,Tales of Zestiria: The X,"4/15/2022, 7:00 PM UTC",
Kazushi Yamagishi,Tokyo Revengers,"4/15/2022, 7:10 PM UTC",
Mirage Caeda,Tokyo Mirage Sessions FE,"4/15/2022, 7:20 PM UTC",
Coquelicot,Sakura Wars: Ecole de Paris,"4/15/2022, 7:30 PM UTC",
Kotoko Iwanaga,In/Spectre,"4/15/2022, 8:00 PM UTC",
Yoruichi Shihouin,Bleach,"4/15/2022, 8:30 PM UTC",
Nice Nature,Uma Musume: Pretty Derby,"4/15/2022, 8:40 PM UTC",
Escanor,The Seven Deadly Sins: Signs of Holy War,"4/15/2022, 8:50 PM UTC",
KONGOU,BLACKSTAR -Theater Starless-,"4/15/2022, 9:00 PM UTC",
Ritsu Sohma,Fruits Basket,"4/15/2022, 9:10 PM UTC",
Ichiru Kuga,TsukiPro the Animation,"4/15/2022, 9:20 PM UTC",
Dear Daniel,Hello Kitty's Animation Theater,"4/15/2022, 9:30 PM UTC",
Hiroto Honda,Yu-Gi-Oh! Duel Monsters,"4/15/2022, 9:40 PM UTC",
Miko Yotsuya,Mieruko-chan,"4/15/2022, 9:40 PM UTC",
Zen Toono,Mieruko-chan,"4/15/2022, 9:40 PM UTC",
Goddess,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,"4/15/2022, 9:40 PM UTC",
Maha,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,"4/15/2022, 9:40 PM UTC",
Tarte,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,"4/15/2022, 9:40 PM UTC",
Yui Saitou,And you thought there is never a girl online?,"4/15/2022, 9:50 PM UTC",
Solar Metca,Gonna be the Twin-Tail!!,"4/15/2022, 10:00 PM UTC",
Narita Brian,Uma Musume: Pretty Derby,"4/15/2022, 10:20 PM UTC",
Yanagi Hanabusa,DREAM!ing,"4/15/2022, 10:30 PM UTC",
Winged Kuriboh,Yu-Gi-Oh! GX,"4/15/2022, 10:40 PM UTC",
Brynhildr,Fate/Prototype: Sougin no Fragments,"4/15/2022, 10:50 PM UTC",
Honey,Nanbaka,"4/15/2022, 11:00 PM UTC",
Jade,Land of the Lustrous,"4/15/2022, 11:10 PM UTC",
Raphael,The Seven Heavenly Virtues,"4/15/2022, 11:30 PM UTC",
Salem,RWBY,"4/15/2022, 11:40 PM UTC",
Elza Forte,Aikatsu Stars! Hoshi no Tsubasa,"4/15/2022, 11:50 PM UTC",
Weiss Schnee,RWBY,"4/16/2022, 12:00 AM UTC",
Arata Uzuki,Tsukiuta. The Animation,"4/16/2022, 12:10 AM UTC",
Tooru Yukimura,Aoharu × Machinegun,"4/16/2022, 12:30 AM UTC",
Nautilus,Sword Art Online Movie: Ordinal Scale,"4/16/2022, 12:40 AM UTC",
Lancelot,Fate/Zero,"4/16/2022, 12:50 AM UTC",
Tiki,Fire Emblem: Shadow Dragon and the Blade of Light,"4/16/2022, 1:00 AM UTC",
Tomoe Udagawa,BanG Dream!,"4/16/2022, 1:10 AM UTC",
Shinobu Oshino,Bakemonogatari,"4/16/2022, 1:20 AM UTC",
Hiro Hayami,Pretty Rhythm: Rainbow Live,"4/16/2022, 1:30 AM UTC",
Ichigo Kurosaki,Bleach,"4/16/2022, 1:50 AM UTC",
Cha Hae-In,Solo Leveling,"4/16/2022, 2:00 AM UTC",
Leonidas I,Fate/Grand Order,"4/16/2022, 2:10 AM UTC",
Rei Suzukawa,Mankitsu Happening,"4/16/2022, 2:20 AM UTC",
Ran,Urusei Yatsura,"4/16/2022, 2:30 AM UTC",
Falfa,I've Been Killing Slimes for 300 Years and Maxed Out My Level,"4/16/2022, 2:50 AM UTC",
Leonardo Burns,Fire Force,"4/16/2022, 3:00 AM UTC",
Misanagi,Rurouni Kenshin,"4/16/2022, 3:10 AM UTC",
Mariah,JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,"4/16/2022, 3:30 AM UTC",
Tsuchigomori,Toilet-Bound Hanako-kun,"4/16/2022, 3:50 AM UTC",
Okita Souji,Fate/KOHA-ACE,"4/16/2022, 4:00 AM UTC",
Chariot Requiem,JoJo's Bizarre Adventure: Golden Wind,"4/16/2022, 4:10 AM UTC",
Melascula,The Seven Deadly Sins: Revival of the Commandments,"4/16/2022, 4:20 AM UTC",
Red,Pokémon Origins,"4/16/2022, 4:30 AM UTC",
Labilia Christy,Edens Zero,"4/16/2022, 4:40 AM UTC",
King,The Seven Deadly Sins,"4/16/2022, 5:00 AM UTC",
Yubel,Yu-Gi-Oh! GX,"4/16/2022, 5:10 AM UTC",
Asia Argento,High School DxD,"4/16/2022, 5:20 AM UTC",
Black,Blood Blockade Battlefront,"4/16/2022, 5:40 AM UTC",
Yumi,Senran Kagura: Shinovi Versus,"4/16/2022, 5:50 AM UTC",
Ikaruga,Senran Kagura: Portrait of Girls,"4/16/2022, 6:00 AM UTC",
Elma,Miss Kobayashi's Dragon Maid,"4/16/2022, 6:20 AM UTC",
Momonga,Overlord,"4/16/2022, 6:30 AM UTC",
Mercedes,Epic Seven,"4/16/2022, 6:40 AM UTC",
Willard H. Wright,Umineko: When They Cry,"4/16/2022, 6:50 AM UTC",
Tsubaki Sawabe,Your lie in April,"4/16/2022, 7:00 AM UTC",
Yaia,Granblue Fantasy,"4/16/2022, 7:20 AM UTC",
Hime Haruno,Place to Place,"4/16/2022, 7:30 AM UTC",
Bruce Wayne,Batman Ninja,"4/16/2022, 7:40 AM UTC",
Yukiho Kousaka,Love Live! School Idol Project 2,"4/16/2022, 7:50 AM UTC",
Roy,Fire Emblem: The Binding Blade,"4/16/2022, 8:00 AM UTC",
Yukio Okumura,Blue Exorcist,"4/16/2022, 8:10 AM UTC",
Aika Tsube,Gonna be the Twin-Tail!!,"4/16/2022, 8:20 AM UTC",
Cubone,Pokémon,"4/16/2022, 8:30 AM UTC",
Hitomi Tougi,Strawberry Panic,"4/16/2022, 8:40 AM UTC",
Akane Kurokawa,Oshi no Ko,"4/16/2022, 9:00 AM UTC",
Shenhua,Black Lagoon,"4/16/2022, 9:10 AM UTC",
Rosaria,Genshin Impact,"4/16/2022, 9:30 AM UTC",
Natsumi Koshigaya,Non Non Biyori,"4/16/2022, 9:40 AM UTC",
Fate Testarossa,Magical Girl Lyrical Nanoha,"4/16/2022, 9:50 AM UTC",
Dian,Jewelpet,"4/16/2022, 10:00 AM UTC",
Kaho Hinata,Blend S,"4/16/2022, 10:10 AM UTC",
Yuuzuki Kiryuu,Kiss x Sis,"4/16/2022, 10:20 AM UTC",
Rio Futaba,Rascal Does Not Dream of Bunny Girl Senpai,"4/16/2022, 10:30 AM UTC",
Ikki Yoneda,Sakura Wars TV,"4/16/2022, 10:40 AM UTC",
Komari Koshigaya,Non Non Biyori,"4/16/2022, 11:00 AM UTC",
Fae,Fire Emblem: The Binding Blade,"4/16/2022, 11:10 AM UTC",
Napoleon Bonaparte,Fate/Grand Order,"4/16/2022, 11:30 AM UTC",
Mikado Ryuugamine,Durarara!!,"4/16/2022, 11:50 AM UTC",
Shiro,The Helpful Fox Senko-san,"4/16/2022, 12:00 PM UTC",
Mysterious Heroine XX,Fate/Grand Order,"4/16/2022, 12:10 PM UTC",
Red Robin,Batman Ninja,"4/16/2022, 12:20 PM UTC",
Kyouka Jirou,My Hero Academia,"4/16/2022, 12:30 PM UTC",
Noela,Drugstore in Another World: The Slow Life of a Cheat Pharmacist,"4/16/2022, 12:40 PM UTC",
Elizabeth,Vivy: Fluorite Eye's Song,"4/16/2022, 12:50 PM UTC",
Hanabusa Aidou,Vampire Knight,"4/16/2022, 1:00 PM UTC",
Dutch,Black Lagoon,"4/16/2022, 1:10 PM UTC",
Siesta,The Detective is Already Dead,"4/16/2022, 1:20 PM UTC",
Yuuga Aoyama,My Hero Academia,"4/16/2022, 1:30 PM UTC",
Azami Izumida,A3! Season Autumn & Winter,"4/16/2022, 1:50 PM UTC",
Neko Fujinomiya,Masamune-kun's Revenge,"4/16/2022, 2:10 PM UTC",
Ursula,Kiki's Delivery Service,"4/16/2022, 2:20 PM UTC",
Zorin Blitz,Hellsing Ultimate,"4/16/2022, 2:30 PM UTC",
Yami Bakura,Yu-Gi-Oh! Duel Monsters,"4/16/2022, 2:40 PM UTC",
Rei Kiseijou,Hyperdimension Neptunia,"4/16/2022, 2:50 PM UTC",
Mitsuba Sanguu,Seraph of the End: Battle in Nagoya,"4/16/2022, 3:00 PM UTC",
Kuku,I've Been Killing Slimes for 300 Years and Maxed Out My Level,"4/16/2022, 3:10 PM UTC",
Trainer,Uma Musume: Pretty Derby,"4/16/2022, 3:20 PM UTC",
Takemichi Hanagaki,Tokyo Revengers,"4/16/2022, 3:30 PM UTC",
Aki,Girls und Panzer der Film,"4/16/2022, 3:40 PM UTC",
The World,JoJo's Bizarre Adventure: Stardust Crusaders,"4/16/2022, 3:50 PM UTC",
Sakuya Watanuki,Servamp,"4/16/2022, 4:00 PM UTC",
Luke Fon Fabre,Tales of the Abyss,"4/16/2022, 4:20 PM UTC",
Ran,Texhnolyze,"4/16/2022, 4:40 PM UTC",
Irma Felice,Violet Evergarden Special,"4/16/2022, 4:50 PM UTC",
Kazuma Sohma,Fruits Basket,"4/16/2022, 5:00 PM UTC",
Doctor Onishi,Akira,"4/16/2022, 5:10 PM UTC",
Kayo,Mononoke,"4/16/2022, 5:20 PM UTC",
Cleopatra,Fate/Grand Order,"4/16/2022, 5:30 PM UTC",
Shouya Ishida,A Silent Voice,"4/16/2022, 5:40 PM UTC",
Fumi Hoshiya,Ore no Yubi de Midarero.: Heitengo Futarikiri no Salon de...,"4/16/2022, 5:50 PM UTC",
Peko,Mewkledreamy,"4/16/2022, 6:00 PM UTC",
Mai Kujaku,Yu-Gi-Oh! Duel Monsters,"4/16/2022, 6:10 PM UTC",
Shirabe Tsukuyomi,Symphogear G,"4/16/2022, 6:40 PM UTC",
Shioriko Mifune,Love Live! School Idol Festival All Stars,"4/16/2022, 6:50 PM UTC",
Alan Stuart,My Next Life as a Villainess: All Routes Lead to Doom!,"4/16/2022, 7:00 PM UTC",
Eva Heinemann,Monster,"4/16/2022, 7:10 PM UTC",
Taiga Aisaka,Toradora!,"4/16/2022, 7:30 PM UTC",
Milleore,Granblue Fantasy,"4/16/2022, 7:40 PM UTC",
Kaede Otori,"Komi-san wa, Komyushou desu.","4/16/2022, 7:50 PM UTC",
Magisa,Granblue Fantasy,"4/16/2022, 8:00 PM UTC",
Ai Ooto,Wonder Egg Priority,"4/16/2022, 8:10 PM UTC",
Yuki Yoshikawa,Horimiya,"4/16/2022, 8:20 PM UTC",
Gensai Oguni,Rurouni Kenshin,"4/16/2022, 8:30 PM UTC",
Sesshomaru,InuYasha,"4/16/2022, 8:50 PM UTC",
Rodan,Godzilla Singular Point,"4/16/2022, 9:00 PM UTC",
Kumi Saiki,The Disastrous Life of Saiki K.,"4/16/2022, 9:10 PM UTC",
Gorgon,Fate/Grand Order,"4/16/2022, 9:20 PM UTC",
Alice Maresato,Highschool of the Dead,"4/16/2022, 9:30 PM UTC",
Rutile,Land of the Lustrous,"4/16/2022, 9:40 PM UTC",
Shura Kirigakure,Blue Exorcist,"4/16/2022, 9:50 PM UTC",
Joji Takadanobaba,King of Prism: Pride the Hero,"4/16/2022, 10:00 PM UTC",
Motojirou Kajii,Bungou Stray Dogs,"4/16/2022, 10:10 PM UTC",
Morio Osanai,Paprika,"4/16/2022, 10:20 PM UTC",
